DETAILED PER-QUERY EVALUATION
======================================================================
Generated: 2025-10-21 15:14:36

VECTOR SPACE MODEL - Per-Query Results
----------------------------------------------------------------------
QueryID | AP     | Recall
    210 | 0.0019 | 0.1667
    331 | 0.0000 | 0.0000
    211 | 0.0324 | 0.4545
    332 | 0.0000 | 0.0000
    212 | 0.1342 | 0.6429
    333 | 0.0000 | 0.0000
    213 | 0.0644 | 0.6364
    214 | 0.1250 | 0.2500
    335 | 0.0000 | 0.0000
    215 | 0.0000 | 0.0000
    336 | 0.0000 | 0.0000
    216 | 0.0000 | 0.0000
    217 | 0.0007 | 0.0667
    338 | 0.0000 | 0.0000
    218 | 0.0000 | 0.0000
    339 | 0.0000 | 0.0000
    219 | 0.0000 | 0.0000
    340 | 0.0000 | 0.0000
    100 | 0.0018 | 0.1111
    101 | 0.0000 | 0.0000
    102 | 0.0000 | 0.0000
    223 | 0.0000 | 0.0000
    103 | 0.0000 | 0.0000
    224 | 0.0000 | 0.0000
    104 | 0.0000 | 0.0000
    225 | 0.0073 | 0.1667
    105 | 0.0061 | 0.2000
    226 | 0.0000 | 0.0000
    347 | 0.0000 | 0.0000
    106 | 0.0000 | 0.0000
    227 | 0.0000 | 0.0000
    348 | 0.0000 | 0.0000
    107 | 0.0000 | 0.0000
    349 | 0.0000 | 0.0000
    108 | 0.0000 | 0.0000
    109 | 0.0000 | 0.0000
